Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	0.37	0.216248	0.12855	0.0572915	0.00149567
2	1000	3.72	0.289416	0.694376	0.0822338	0.00310288
4	1000	7.86	0.395753	1.46534	0.12302	0.0058897
8	1000	14.42	0.488737	2.45453	0.159828	0.0085282
16	1000	19.41	0.598458	3.06178	0.201186	0.0161732
32	1000	29.07	0.646092	5.01007	0.209264	0.0280133
64	1000	34.72	0.696076	5.75915	0.22555	0.053568
128	1000	39.01	0.699514	7.12803	0.236024	0.100282
256	1000	43.41	0.677253	8.39515	0.217574	0.197084
512	1000	48.36	0.683016	10.0761	0.216931	0.447419
1024	1000	55.25	0.659801	12.9537	0.218415	0.820245
2048	1000	58.23	0.604456	14.9775	0.22176	1.78949
4096	1000	60.42	0.593484	17.4361	0.224464	2.70685
8192	1000	59.36	0.551172	18.6702	0.234525	5.2193
16384	973	58.0062	0.580776	19.1292	0.241932	10.2816
32768	428	57.8972	0.84147	20.0796	0.36906	23.3796
