Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    50	9.6	    0.892637	6.48432	0.899067	4.992e-05
2	    50	10.6	0.86764	    8.42485	0.819954	4.984e-05
4	    50	9.6	    1.05679	    8.06781	1.01227	    2.672e-05
8	    50	10.4	0.978162	8.90381	0.942675	4e-05
16	    50	12.6	0.839524	11.3755	0.809448	4.742e-05
32	    50	12.4	0.827526	11.3635	0.792598	0.00010718
64	    50	11	    0.905539	10.0547	0.873915	0.00012728
128	    50	13.4	0.921303	12.2796	0.867764	0.00026754
256	    50	12	    0.894427	10.9021	0.847059	0.00057104
512	    50	13.6	0.787909	12.254	0.725672	0.00112862
1024	50	15.2	0.706541	13.7303	0.639331	0.00224858
2048	50	15.2	0.706541	13.7303	0.639331	0.00438152
4096	50	15.2	0.706541	13.7303	0.639331	0.00859968
8192	50	15	    0.707107	13.5494	0.639843	0.0168687
