Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	7.84	0.393617	1.33275	0.205591	0.00050609
2	1000	11.06	0.383245	2.40737	0.228714	0.000791388
4	1000	14.08	0.442214	4.40624	0.271106	0.00114511
8	1000	14.7	0.472133	5.64927	0.312644	0.00175889
16	1000	16.73	0.468196	8.18563	0.343519	0.00252165
32	1000	17.37	0.467315	8.87695	0.346338	0.00433323
64	1000	17.77	0.46811	10.0084	0.346795	0.00836652
128	1000	17.5	0.457985	10.4481	0.348	0.0142121
256	1000	18.01	0.41562	11.7608	0.321381	0.0238079
512	1000	17.07	0.379888	11.7751	0.303532	0.0413921
1024	1000	17.36	0.336794	12.7685	0.270787	0.0767859
2048	1000	18.48	0.326634	14.244	0.246548	0.139606
4096	1000	19.52	0.344049	15.1667	0.255688	0.241261
8192	1000	20.68	0.353748	15.9386	0.261768	0.490538
16384	1000	21.24	0.346211	16.3238	0.257944	0.878334
32768	1000	21.29	0.34675	16.3596	0.256826	1.41991
