Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    1000	0.92	0.206769	0.208339	0.0533311	0.0101946
2	    1000	3.47	0.27177	    0.590183	0.0717258	0.0180186
4	    1000	6.32	0.317266	1.17845	    0.0929647	0.0348986
8	    1000	11.23	0.41108	    1.94551	    0.11247	    0.0572188
16	    1000	16.88	0.515039	2.9152	    0.140849	0.087329
32	    1000	29.95	0.575932	5.39223	    0.174356	0.137003
64	    1000	39.1	0.60464	    7.51058	    0.192679	0.224561
128	    1000	45.61	0.602186	9.69243	    0.208523	0.625385
256	    1000	50.86	0.609968	12.3652	    0.209836	0.502204
512	    1000	55.29	0.577681	15.1455	    0.215671	0.880011
1024	1000	54.46	0.526791	16.9184	    0.226104	1.69709
2048	1000	54.79	0.512987	18.4439	    0.221845	3.00945
4096	1000	54.85	0.532332	19.4388	    0.230358	5.75693
8192	1000	53.55	0.48218	    20.4808	    0.220296	10.8982
16384	1000	52.56	0.506405	20.5674	    0.224196	21.1868
32768	1000	52.29	0.499055	21.1501	    0.219717	43.5979
