Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	    5	0	4	    -0.8256	0.92148	0.0009286
2	    5	12	3.34664	2.98117	0.96694	0.0015162
4	    5	2	3.34664	-0.2429	1.24463	0.0026122
8	    5	6	5.36656	2.74786	1.63533	0.0050524
16	    5	10	6.32456	3.30439	2.525	0.0066544
32  	5	20	4.89898	3.50093	1.79537	0.0126816
64	    5	14	6.69328	7.93044	4.80133	0.01699
128	    5	12	4.38178	4.86041	3.77975	0.026214
256	    5	20	2.82843	7.44319	2.27041	0.0693164
512	    5	16	5.36656	7.3454	4.11736	0.135104
1024	5	24	8.29458	12.6323	4.26509	0.217016
2048	5	18	3.34664	11.6062	2.29362	0.224205
4096	5	22	3.34664	14.7414	2.40008	0.430994
8192	5	18	3.34664	10.4229	1.7416	1.15883
16384	5	26	3.57771	16.6505	2.89295	1.91777
32768	5	26	4.5607	16.0141	2.89932	3.56644
65536	5	26	3.57771	18.5081	2.90377	4.80679
131072	5	26	2.19089	18.6549	1.83525	9.73078
262144	5	22	1.78885	15.8401	1.61171	13.4198
524288	5	22	1.78885	16.3748	1.475	22.6907
1048576	5	18	1.78885	12.2263	1.47395	40.8568
